"","x"
"1",-1.10282168025151
"2",1.92516675358638
"3",-2.1777622949332
"4",2.48087694454938
"5",-2.40906206510216
"6",2.3228842097655
"7",-1.73765837034107
"8",-0.166358213170464
"9",1.36810378937268
"10",-0.244390191801469
"11",-0.0679163894130437
"12",-1.97240275891108
"13",2.96298889348166
"14",-2.09579100048935
"15",1.05515352889857
"16",-1.87230008487069
"17",2.47841593506309
"18",-1.0951452502892
"19",-0.894241284677104
"20",1.22370299791473
"21",-1.55316471115235
"22",1.63788582480703
"23",-0.327501889949062
"24",-1.19860391454322
"25",1.0212482412263
"26",-0.843892567909384
