"","x"
"1",-2.01895797718316
"2",-1.08260770905763
"3",3.84997850568965
"4",-5.52444243931397
"5",6.76380345852524
"6",-8.25103668157876
"7",8.68295585753793
"8",-9.20125886868894
"9",8.08663131056255
"10",-6.7490782408109
"11",3.5266882949964
"12",-5.34512981746127
"13",6.2874090036737
"14",-3.33637351492474
"15",-0.984806430150376
"16",-2.37461635012929
"17",5.3549753312656
"18",-1.63185586335621
"19",-3.02478718689577
"20",-0.255855540637939
"21",2.9568816093688
"22",-2.44723105500465
"23",-1.49761488459176
"24",3.99478073157697
"25",-3.15114007200052
"26",-1.13500845616129
"27",3.29471803931591
"28",-1.52313942788865
"29",-2.86509059505982
"30",4.31616873364355
"31",-0.44499024755237
"32",-1.67236548802272
"33",-2.12324309699437
"34",2.69479603635071
"35",-0.209956374621067
"36",-2.90942313885124
"37",-0.205887955698002
"38",2.93999371605133
"39",-0.605828339751299
"40",-1.5700577954178
"41",-0.788512761786708
"42",-1.21867616087308
"43",4.16022059844231
"44",-0.370748458147689
"45",-1.43483174050866
"46",-0.582841090399348
"47",-1.34274953236391
"48",-1.42770834547167
"49",4.32524926455608
"50",-0.425814973071674
"51",-1.38088494326031
"52",-0.906786576191966
"53",-0.667228656207949
"54",-1.82737393890356
"55",4.61594115350951
"56",-0.732604478575752
"57",-0.968332424597068
"58",-1.33701793572054
"59",-0.483085924912963
"60",-1.6225372604669
"61",4.15115706144488
"62",-0.0372528615531894
"63",-1.64602932951883
"64",-0.648029589946791
"65",-1.13194715441002
"66",-1.34555481078905
"67",3.68119849662825
"68",-0.903343551747846
"69",-1.51154283606706
"70",-0.459893531940421
"71",-1.44897947487113
"72",3.64402437815217
"73",-0.784217225299265
"74",-1.32929069732602
"75",-0.949136046507823
"76",-1.16146541837379
"77",3.18273142855154
"78",-0.215555315955223
"79",-1.53504071842176
"80",-0.842412906277279
"81",-1.3404854691303
"82",3.2796109918799
"83",-0.482685135199754
"84",-0.864088494158917
"85",-1.22585941899731
"86",-1.54048332811734
"87",3.37821283395957
"88",-0.696393236305486
"89",-0.587153320532639
"90",-0.970220678735668
"91",-1.9421782326747
"92",3.63535759975124
"93",-1.01565429807135
"94",-0.393786006824849
"95",-0.791144592588962
"96",-2.00012689125714
"97",3.41794144959695
"98",-0.64140650017755
"99",-0.881218385956512
"100",-0.392146894701442
"101",-1.80466251143379
"102",2.88275026005664
"103",-1.20452802940436
"104",-0.457009845525514
"105",-1.41419230629304
"106",2.16994353686239
"107",-0.0871020629148832
"108",-1.09214811514351
"109",-1.50026875061227
"110",2.07509659828466
"111",-0.16124445589451
"112",-0.438852562575338
"113",-1.90414166353349
"114",2.26474417782716
"115",-0.458051086566674
"116",-0.198449627636207
"117",-1.6149907232325
"118",1.59611435674112
"119",-0.195458781091333
"120",-1.31936630153274
