"","x"
"1",-0.0323027166537941
"2",-0.755192994978279
"3",-0.00624433849006892
"4",-0.879429913498461
"5",-0.550856168475002
"6",-0.563425062131137
"7",0.191632856614888
"8",-0.211713670752943
"9",-0.500548471231014
"10",-1.16118783196434
"11",0.553016137890518
"12",0.666429256554693
"13",0.269905038643628
"14",-0.581124472431839
"15",-0.693774365074933
"16",-0.596571075171232
"17",0.0883061891421675
"18",0.00134032601490605
"19",-0.0973498638719322
"20",-0.3119185032323
"21",0.578765962272882
"22",0.471863359678537
"23",-0.540612330660224
"24",0.736817511264235
"25",-0.468356951233
"26",1.25193022098392
"27",0.0309185273945332
"28",0.330692599993199
"29",-0.401508077979088
"30",0.586755512654781
"31",0.0129969288595021
"32",0.432533745281398
"33",0.89762351019308
"34",-0.100849338714033
"35",0.158669414371252
"36",-0.181307183671743
