"","x"
"1",0.840758974968627
"2",-0.695779562157407
"3",0.325805334213361
"4",0.261861604943112
"5",0.820556511475876
"6",-1.11597295672718
"7",0.45542456349358
"8",0.0350642884150147
"9",-0.858454775065184
"10",-0.441809296761456
"11",0.499464732975781
"12",0.461743233259767
"13",-0.707252733875066
"14",-0.633212361019105
"15",0.631172504588214
"16",0.870575213178233
"17",-0.284516546493319
"18",-0.594603696921763
"19",-0.315975973466334
"20",-0.770161442619577
"21",1.20392416105752
"22",0.00873251305893064
"23",-0.473854955751449
"24",0.826161235105246
"25",-0.445207108198941
"26",0.666025779816851
"27",0.722778837196529
"28",-0.635582917369902
"29",-0.593989899381995
"30",-1.03867411372745
"31",-0.176471674044445
"32",-0.34101718680264
"33",-0.303865771901622
"34",-0.0186530953951327
"35",-0.748793346968308
"36",-0.429349312254056
