"","x"
"1",0.126866790186614
"2",-0.164520248677582
"3",0.767222994100302
"4",0.670374895073473
"5",-0.152747582923621
"6",1.08532359162346
"7",0.201153127942234
"8",-0.0291938916780055
"9",0.512382711749524
"10",0.284986928384751
"11",0.304450757242739
"12",0.268965501338243
"13",-0.0368252065964043
"14",0.276107927784324
"15",-0.0897804668173195
"16",-0.96770653501153
"17",1.02737724715844
"18",-0.684288099594414
"19",0.142339974921197
"20",-0.23073417628184
"21",-1.68769699921832
"22",0.759475758299232
"23",-0.741885919123888
"24",0.60981923667714
"25",0.0159812389872969
"26",0.188577725738287
"27",0.265256225131452
"28",-0.740604825783521
"29",0.427278058603406
"30",-0.212423940934241
"31",0.564378244243562
"32",-0.16572056254372
"33",-0.652609087619931
"34",0.20647182026878
"35",-0.353073667082936
"36",-1.42225741436705
