"","x"
"1",0.593458591774106
"2",-1.07920961286873
"3",0.67127731051296
"4",0.453818286582828
"5",-0.4774912414141
"6",-0.733540057577193
"7",-0.032890509814024
"8",0.676670175045729
"9",0.720728871412575
"10",0.187744259368628
"11",0.11167674427852
"12",0.649530360940844
"13",0.220667087007314
"14",-0.5417844732292
"15",0.159780210349709
"16",-0.374463459663093
"17",-0.621800346579403
"18",-0.418458357267082
"19",0.746928592398763
"20",0.236773198470473
"21",0.147450224217027
"22",-0.870648624841124
"23",0.887412155978382
"24",-0.138771274592727
"25",-0.567707034386694
"26",-0.579105368629098
"27",-0.740100615657866
"28",0.226858606096357
"29",0.325357259716839
"30",0.592166814859957
"31",-0.0709276555106044
"32",0.182491202652454
"33",-0.013249035179615
"34",-0.837675067782402
"35",0.148445574101061
"36",-0.910382993053645
