"","x"
"1",-0.838844776991755
"2",-0.732240508217365
"3",-0.165873118583113
"4",-1.03803335726261
"5",-0.0557786691002548
"6",-0.600940791890025
"7",-0.693252086173743
"8",-0.479792985599488
"9",0.329160315915942
"10",-0.314056248776615
"11",-0.905074402689934
"12",0.825503443833441
"13",-0.611410480458289
"14",0.00165353203192353
"15",0.268315841071308
"16",0.464524617046118
"17",-0.379035958927125
"18",-0.830970678851008
"19",-0.16941582262516
"20",0.855029020551592
"21",-0.97226200113073
"22",-0.421129696071148
"23",0.0496504819020629
"24",0.98292398545891
"25",0.189318218361586
"26",-0.177864151075482
"27",-0.333350786473602
"28",-0.191336009185761
"29",-0.149719892535359
"30",0.692800121475011
"31",-0.889189750794321
"32",0.764272085484117
"33",-0.317289386317134
"34",0.517622046265751
"35",0.828236484993249
"36",0.29401861699298
