"","x"
"1",-0.269545911531895
"2",0.861910035740584
"3",-0.783384579792619
"4",-0.353966709785163
"5",0.265801178198308
"6",0.51788530414924
"7",-0.925184078514576
"8",-0.271917419042438
"9",0.592809556052089
"10",0.130109283514321
"11",1.00229253582656
"12",-0.320496889296919
"13",0.876108641270548
"14",-0.662517157848924
"15",0.163795561902225
"16",-1.19902249444276
"17",0.724607237335294
"18",0.803753316123038
"19",0.531469149235636
"20",0.509356634132564
"21",0.572640048246831
"22",-0.716920154169202
"23",0.237417685333639
"24",-0.410904680844396
"25",-0.66451215306297
"26",-0.428666739352047
"27",0.119607941247523
"28",0.842375531326979
"29",-0.325285728555173
"30",-0.57791990255937
"31",0.0569036015309393
"32",0.636128982435912
"33",0.28208487611264
"34",-0.751175660267472
"35",-1.33755430076271
"36",-0.622656328696757
