"","x"
"1",0.0575519948266447
"2",-0.478902404289693
"3",-0.458400236070156
"4",0.940303618460894
"5",-0.20639144545421
"6",-0.522787509765476
"7",-0.676107108592987
"8",0.030725437682122
"9",-0.515210162382573
"10",0.429924160894007
"11",-0.797318906337023
"12",0.525183335412294
"13",0.312682149000466
"14",-0.403048343490809
"15",-0.256937679648399
"16",-0.85939598698169
"17",0.232399699185044
"18",0.126327926199883
"19",0.688171310257167
"20",0.0869144968688488
"21",-0.62282543303445
"22",0.405148453544825
"23",0.849477196112275
"24",-0.431752427946776
"25",-0.463349213451147
"26",-0.989004366565496
"27",0.371116344816983
"28",0.350348508451134
"29",-0.970332951284945
"30",0.54275421416387
"31",-0.50571829834953
"32",0.388311718963087
"33",0.807891470286995
"34",0.271185098122805
"35",-0.376011374033988
"36",-0.892775974329561
