"","x"
"1",-0.41095662255673
"2",-0.189041071816003
"3",-0.379647298029279
"4",-0.0440450485447701
"5",-0.326382896456635
"6",0.5654850169259
"7",0.377522896043956
"8",-0.122309666592628
"9",0.0925849401392043
"10",-0.00956552737276082
"11",0.333116599841683
"12",0.0365489302203059
"13",-0.389578068628907
"14",-0.509708991274238
"15",0.748334483887302
"16",0.238340636267035
"17",0.524539478140592
"18",-0.218291205802293
"19",-0.386869290360541
"20",0.94362199347117
"21",-0.773066918365657
"22",0.444489587564021
"23",0.383911828976125
"24",-0.429652995429933
"25",-0.851548039413756
"26",0.736013341229409
"27",-0.800696930848062
"28",0.717729985713959
"29",-0.924973553046584
"30",-0.226130411553895
"31",0.0214521817350761
"32",-0.968181841312908
"33",-0.474543883702718
"34",0.154988315184601
"35",0.360916612144792
"36",-0.639246214706218
